average error,percent correct
0.870048,0.300000
0.878565,0.200000
0.865560,0.400000
0.874563,0.250000
0.877874,0.000000
0.885543,0.090909
0.900891,0.272727
0.896529,0.181818
0.900043,0.100000
0.903007,0.100000
0.900715,0.000000
0.888218,0.222222
0.894338,0.111111
0.884268,0.333333
0.909890,0.166667
0.910979,0.083333
0.917145,0.000000
0.906206,0.000000
0.890729,0.181818
0.899254,0.200000
0.895742,0.000000
0.887450,0.000000
0.892393,0.000000
0.884049,0.181818
0.876260,0.000000
0.889682,0.000000
0.893654,0.000000
0.885529,0.090909
0.889019,0.000000
0.906876,0.000000
0.895043,0.090909
0.904359,0.090909
0.880121,0.090909
0.867705,0.230769
0.894493,0.166667
0.889698,0.083333
0.911410,0.090909
0.880244,0.272727
0.878427,0.300000
0.883614,0.100000
0.905232,0.111111
0.899863,0.000000
0.887326,0.222222
0.905755,0.090909
0.895629,0.181818
0.900334,0.181818
0.890217,0.181818
0.882581,0.272727
0.880222,0.181818
0.879817,0.300000
0.896159,0.111111
0.899614,0.111111
0.890892,0.000000
0.875109,0.307692
0.887220,0.153846
0.891299,0.153846
0.891949,0.000000
0.889499,0.083333
0.904605,0.000000
0.878182,0.333333
0.894850,0.166667
0.891710,0.083333
0.899488,0.000000
0.873732,0.200000
0.894175,0.066667
0.887993,0.133333
0.881396,0.133333
0.874505,0.266667
0.892568,0.071429
0.878810,0.230769
0.876588,0.181818
0.889827,0.090909
0.878345,0.090909
0.891223,0.181818
0.873081,0.363636
0.894911,0.200000
0.875121,0.200000
0.888306,0.000000
0.879312,0.222222
0.897226,0.000000
0.875778,0.333333
0.886054,0.111111
0.897693,0.000000
0.887501,0.000000
0.900181,0.090909
0.887049,0.100000
0.894381,0.125000
0.889004,0.285714
0.902264,0.000000
0.903817,0.000000
0.888558,0.333333
0.873595,0.166667
0.873148,0.500000
0.865559,0.250000
0.874015,0.250000
0.890096,0.125000
0.884001,0.000000
0.882311,0.250000
0.898909,0.000000
0.860593,0.375000
0.901252,0.000000
0.868372,0.125000
0.895370,0.000000
0.889332,0.000000
0.896535,0.090909
0.898803,0.181818
0.903414,0.090909
0.895318,0.100000
0.911948,0.000000
0.910330,0.000000
0.891212,0.222222
0.897424,0.111111
0.883973,0.111111
0.873236,0.181818
0.899661,0.090909
0.885619,0.181818
0.888955,0.090909
0.896512,0.272727
0.887269,0.300000
0.899190,0.100000
0.882680,0.200000
0.890214,0.200000
0.880888,0.333333
0.886486,0.090909
0.892009,0.090909
0.901342,0.090909
0.901262,0.000000
0.881900,0.181818
0.886006,0.181818
0.911904,0.000000
0.885025,0.300000
0.897233,0.000000
0.898696,0.100000
0.887586,0.214286
0.876870,0.230769
0.899303,0.076923
0.884133,0.153846
0.892864,0.153846
0.891131,0.076923
0.893999,0.076923
0.873384,0.333333
0.894250,0.166667
0.873738,0.272727
0.896467,0.133333
0.903386,0.000000
0.892552,0.200000
0.896607,0.000000
0.881688,0.266667
0.880912,0.400000
0.894432,0.133333
0.895071,0.133333
0.899013,0.142857
0.892046,0.071429
0.891680,0.200000
0.885675,0.133333
0.902841,0.066667
0.891032,0.142857
0.886535,0.214286
0.890191,0.076923
0.889831,0.230769
0.895195,0.076923
0.886604,0.230769
0.885975,0.166667
0.895665,0.133333
0.888337,0.133333
0.886621,0.200000
0.883817,0.200000
0.877076,0.285714
0.888871,0.076923
0.891047,0.166667
0.885741,0.250000
0.888942,0.166667
0.897768,0.083333
0.885712,0.200000
0.896443,0.066667
0.892411,0.066667
0.894960,0.200000
0.896504,0.066667
0.895213,0.071429
0.888384,0.142857
0.889666,0.142857
0.878323,0.285714
0.889600,0.142857
0.876636,0.333333
0.884816,0.222222
0.880474,0.333333
0.874451,0.333333
0.880331,0.250000
